date,Aggravated Assault,Robbery,Larceny-Theft
2007-05-30,33,27,138
2007-05-31,25,23,122
2007-06-01,27,25,116
2007-06-02,39,29,114
2007-06-03,44,24,100
2007-06-04,26,30,145
2007-06-05,33,31,127
2007-06-06,27,42,122
2007-06-07,26,39,122
2007-06-08,27,35,110
2007-06-09,36,40,92
2007-06-10,32,16,92
2007-06-11,20,23,130
2007-06-12,29,26,120
2007-06-13,21,33,112
2007-06-14,20,24,104
2007-06-15,30,25,117
2007-06-16,23,16,103
2007-06-17,45,36,98
2007-06-18,15,29,120
2007-06-19,26,26,132
2007-06-20,29,21,113
2007-06-21,27,21,122
2007-06-22,27,29,118
2007-06-23,35,18,107
2007-06-24,28,28,99
2007-06-25,29,27,124
2007-06-26,30,32,135
2007-06-27,33,30,124
2007-06-28,37,17,111
2007-06-29,38,28,110
2007-06-30,45,32,130
2007-07-01,26,28,100
2007-07-02,33,21,129
2007-07-03,15,21,125
2007-07-04,25,27,90
2007-07-05,25,42,115
2007-07-06,24,23,119
2007-07-07,42,35,105
2007-07-08,43,36,93
2007-07-09,30,22,111
2007-07-10,30,28,129
2007-07-11,42,35,128
2007-07-12,31,33,123
2007-07-13,25,33,125
2007-07-14,34,36,92
2007-07-15,28,22,99
2007-07-16,30,28,129
2007-07-17,21,37,110
2007-07-18,23,32,130
2007-07-19,29,33,133
2007-07-20,37,28,107
2007-07-21,52,27,100
2007-07-22,48,20,73
2007-07-23,28,38,139
2007-07-24,31,29,125
2007-07-25,21,39,128
2007-07-26,23,25,134
2007-07-27,21,28,122
2007-07-28,25,30,95
2007-07-29,35,25,82
2007-07-30,21,37,119
2007-07-31,22,36,124
2007-08-01,24,26,134
2007-08-02,26,37,120
2007-08-03,23,31,103
2007-08-04,37,26,76
2007-08-05,38,22,89
2007-08-06,26,22,112
2007-08-07,27,29,110
2007-08-08,22,38,123
2007-08-09,29,22,98
2007-08-10,22,20,102
2007-08-11,32,27,117
2007-08-12,25,23,107
2007-08-13,39,25,131
2007-08-14,27,26,118
2007-08-15,20,31,143
2007-08-16,24,23,110
2007-08-17,32,19,115
2007-08-18,24,30,100
2007-08-19,36,22,89
2007-08-20,16,25,133
2007-08-21,21,19,118
2007-08-22,21,30,115
2007-08-23,18,36,129
2007-08-24,22,25,131
2007-08-25,30,31,96
2007-08-26,20,24,101
2007-08-27,21,40,128
2007-08-28,18,43,142
2007-08-29,29,29,120
2007-08-30,16,38,96
2007-08-31,42,24,109
2007-09-01,35,32,115
2007-09-02,37,25,91
2007-09-03,41,23,79
2007-09-04,29,17,109
2007-09-05,24,27,113
2007-09-06,21,29,113
2007-09-07,25,33,98
2007-09-08,35,28,103
2007-09-09,28,36,98
2007-09-10,28,24,109
2007-09-11,26,34,110
2007-09-12,41,20,105
2007-09-13,25,30,103
2007-09-14,23,21,103
2007-09-15,36,36,88
2007-09-16,24,24,93
2007-09-17,24,30,106
2007-09-18,15,28,107
2007-09-19,22,30,125
2007-09-20,32,39,123
2007-09-21,16,31,119
2007-09-22,38,30,106
2007-09-23,35,27,101
2007-09-24,30,21,129
2007-09-25,25,27,127
2007-09-26,28,17,118
2007-09-27,29,33,116
2007-09-28,27,32,108
2007-09-29,38,34,118
2007-09-30,33,34,107
2007-10-01,23,37,119
2007-10-02,25,25,119
2007-10-03,29,32,138
2007-10-04,24,26,126
2007-10-05,24,23,106
2007-10-06,27,38,115
2007-10-07,33,25,92
2007-10-08,28,27,140
2007-10-09,22,29,114
2007-10-10,24,29,120
2007-10-11,24,33,108
2007-10-12,25,26,102
2007-10-13,30,20,88
2007-10-14,17,24,105
2007-10-15,18,23,114
2007-10-16,28,27,116
2007-10-17,24,23,137
2007-10-18,27,24,114
2007-10-19,27,36,109
2007-10-20,45,39,116
2007-10-21,39,38,113
2007-10-22,28,40,127
2007-10-23,29,18,115
2007-10-24,15,31,111
2007-10-25,25,29,105
2007-10-26,23,29,119
2007-10-27,25,46,117
2007-10-28,22,36,113
2007-10-29,24,24,121
2007-10-30,21,27,113
2007-10-31,27,34,105
2007-11-01,27,24,106
2007-11-02,31,30,92
2007-11-03,13,32,94
2007-11-04,17,24,103
2007-11-05,24,31,119
2007-11-06,13,22,121
2007-11-07,19,21,92
2007-11-08,23,29,101
2007-11-09,15,26,94
2007-11-10,25,24,111
2007-11-11,23,44,93
2007-11-12,23,28,126
2007-11-13,23,29,112
2007-11-14,20,41,129
2007-11-15,23,27,123
2007-11-16,22,31,131
2007-11-17,17,33,106
2007-11-18,18,30,93
2007-11-19,18,30,120
2007-11-20,17,28,139
2007-11-21,26,37,124
2007-11-22,34,14,87
2007-11-23,14,27,98
2007-11-24,24,20,90
2007-11-25,30,19,86
2007-11-26,25,36,110
2007-11-27,20,34,131
2007-11-28,17,26,117
2007-11-29,17,24,101
2007-11-30,24,26,101
2007-12-01,15,26,109
2007-12-02,17,24,83
2007-12-03,15,24,107
2007-12-04,20,23,115
2007-12-05,22,24,124
2007-12-06,17,22,78
2007-12-07,14,27,122
2007-12-08,24,27,115
2007-12-09,23,41,112
2007-12-10,23,26,139
2007-12-11,29,34,117
2007-12-12,15,35,135
2007-12-13,26,18,102
2007-12-14,17,32,109
2007-12-15,24,28,104
2007-12-16,24,21,103
2007-12-17,20,20,121
2007-12-18,24,30,118
2007-12-19,16,25,102
2007-12-20,23,31,98
2007-12-21,20,35,108
2007-12-22,25,24,104
2007-12-23,19,26,99
2007-12-24,20,28,108
2007-12-25,31,14,43
2007-12-26,15,20,102
2007-12-27,31,26,92
2007-12-28,19,22,115
2007-12-29,29,18,82
2007-12-30,21,24,87
2007-12-31,16,17,89
2008-01-01,41,19,69
2008-01-02,19,19,115
2008-01-03,16,27,87
2008-01-04,18,26,104
2008-01-05,23,24,94
2008-01-06,23,23,79
2008-01-07,21,28,124
2008-01-08,21,30,122
2008-01-09,21,26,115
2008-01-10,25,32,122
2008-01-11,22,32,91
2008-01-12,27,28,128
2008-01-13,31,24,82
2008-01-14,25,25,129
2008-01-15,30,27,112
2008-01-16,26,25,118
2008-01-17,18,19,116
2008-01-18,17,20,107
2008-01-19,28,32,94
2008-01-20,18,12,74
2008-01-21,9,13,109
2008-01-22,15,32,107
2008-01-23,18,27,108
2008-01-24,13,31,104
2008-01-25,23,31,112
2008-01-26,29,31,80
2008-01-27,23,24,105
2008-01-28,13,26,128
2008-01-29,21,25,100
2008-01-30,17,19,86
2008-01-31,21,25,104
2008-02-01,25,36,102
2008-02-02,19,22,74
2008-02-03,25,24,80
2008-02-04,28,26,122
2008-02-05,28,18,101
2008-02-06,27,19,108
2008-02-07,15,22,119
2008-02-08,18,32,102
2008-02-09,20,28,107
2008-02-10,23,24,89
2008-02-11,15,20,104
2008-02-12,11,13,75
2008-02-13,14,20,83
2008-02-14,22,26,108
2008-02-15,24,30,90
2008-02-16,26,18,102
2008-02-17,26,25,89
2008-02-18,19,13,91
2008-02-19,20,26,114
2008-02-20,21,24,104
2008-02-21,23,26,98
2008-02-22,18,21,80
2008-02-23,17,21,87
2008-02-24,37,27,104
2008-02-25,21,20,105
2008-02-26,26,18,112
2008-02-27,15,16,111
2008-02-28,30,16,95
2008-02-29,24,30,105
2008-03-01,28,22,98
2008-03-02,29,14,90
2008-03-03,22,18,106
2008-03-04,33,24,95
2008-03-05,21,27,111
2008-03-06,29,19,121
2008-03-07,21,20,100
2008-03-08,27,13,86
2008-03-09,26,14,100
2008-03-10,31,26,114
2008-03-11,30,26,119
2008-03-12,17,20,101
2008-03-13,22,27,95
2008-03-14,20,35,115
2008-03-15,48,26,90
2008-03-16,24,25,78
2008-03-17,21,24,122
2008-03-18,21,18,109
2008-03-19,19,25,86
2008-03-20,23,22,119
2008-03-21,18,30,85
2008-03-22,29,15,107
2008-03-23,19,22,55
2008-03-24,23,28,118
2008-03-25,17,18,113
2008-03-26,28,29,99
2008-03-27,13,32,98
2008-03-28,18,34,103
2008-03-29,19,21,82
2008-03-30,28,13,89
2008-03-31,24,20,104
2008-04-01,28,35,103
2008-04-02,45,24,97
2008-04-03,16,26,98
2008-04-04,18,31,114
2008-04-05,29,24,107
2008-04-06,34,26,90
2008-04-07,15,24,118
2008-04-08,28,27,114
2008-04-09,23,25,112
2008-04-10,41,19,97
2008-04-11,33,21,112
2008-04-12,31,30,114
2008-04-13,38,36,93
2008-04-14,17,29,106
2008-04-15,30,27,115
2008-04-16,21,16,120
2008-04-17,25,25,121
2008-04-18,16,30,118
2008-04-19,36,28,104
2008-04-20,25,32,84
2008-04-21,28,21,148
2008-04-22,18,23,105
2008-04-23,30,25,138
2008-04-24,30,14,111
2008-04-25,24,21,121
2008-04-26,23,29,102
2008-04-27,34,26,91
2008-04-28,28,20,101
2008-04-29,21,21,142
2008-04-30,18,18,141
2008-05-01,20,27,102
2008-05-02,21,28,101
2008-05-03,29,23,92
2008-05-04,27,19,91
2008-05-05,26,26,112
2008-05-06,19,22,94
2008-05-07,22,26,125
2008-05-08,26,23,140
2008-05-09,25,33,93
2008-05-10,18,18,102
2008-05-11,36,20,83
2008-05-12,18,20,119
2008-05-13,30,26,108
2008-05-14,30,30,97
2008-05-15,29,23,118
2008-05-16,20,24,93
2008-05-17,26,18,81
2008-05-18,39,38,95
2008-05-19,15,25,107
2008-05-20,19,22,103
2008-05-21,22,30,103
2008-05-22,18,23,122
2008-05-23,21,21,133
2008-05-24,27,20,103
2008-05-25,37,22,87
2008-05-26,32,17,92
2008-05-27,46,26,134
2008-05-28,25,26,122
2008-05-29,27,23,126
2008-05-30,22,32,117
2008-05-31,41,30,86
2008-06-01,38,27,106
2008-06-02,29,26,133
2008-06-03,30,12,127
2008-06-04,29,22,129
2008-06-05,25,18,117
2008-06-06,32,27,137
2008-06-07,40,26,107
2008-06-08,36,19,89
2008-06-09,34,29,142
2008-06-10,39,29,126
2008-06-11,34,22,125
2008-06-12,39,22,124
2008-06-13,32,24,113
2008-06-14,39,21,101
2008-06-15,40,33,113
2008-06-16,23,33,138
2008-06-17,32,22,142
2008-06-18,24,23,118
2008-06-19,35,27,140
2008-06-20,27,31,145
2008-06-21,33,21,89
2008-06-22,34,19,98
2008-06-23,24,35,124
2008-06-24,24,28,138
2008-06-25,29,29,133
2008-06-26,24,25,137
2008-06-27,31,28,119
2008-06-28,36,35,125
2008-06-29,44,30,116
2008-06-30,31,29,141
2008-07-01,26,25,141
2008-07-02,35,18,128
2008-07-03,27,30,96
2008-07-04,36,10,74
2008-07-05,38,23,125
2008-07-06,26,25,95
2008-07-07,25,36,125
2008-07-08,21,22,143
2008-07-09,36,31,119
2008-07-10,23,26,134
2008-07-11,27,26,114
2008-07-12,34,27,125
2008-07-13,29,32,79
2008-07-14,23,25,127
2008-07-15,24,25,152
2008-07-16,23,25,114
2008-07-17,21,27,143
2008-07-18,38,23,126
2008-07-19,38,34,110
2008-07-20,54,23,90
2008-07-21,25,19,117
2008-07-22,35,31,126
2008-07-23,21,21,107
2008-07-24,32,27,115
2008-07-25,22,27,109
2008-07-26,45,18,123
2008-07-27,31,28,126
2008-07-28,26,22,132
2008-07-29,33,30,144
2008-07-30,42,31,122
2008-07-31,38,25,123
2008-08-01,30,30,136
2008-08-02,38,27,89
2008-08-03,36,18,96
2008-08-04,25,24,139
2008-08-05,36,22,139
2008-08-06,26,22,129
2008-08-07,25,32,149
